time	V(a)
4.83893e-03	3.82151e-01
4.83893e-03	5.14324e-02
4.83902e-03	-1.28210e-01
5.03858e-03	-1.54045e-01
5.03858e-03	-4.47472e-01
5.03859e-03	-4.15202e-01
5.03859e-03	-6.46331e-01
5.08584e-03	-5.13019e-01
5.08584e-03	6.12473e-01
5.08584e-03	1.25463e+00
5.08584e-03	1.53337e+00
5.08584e-03	1.24551e+00
5.08585e-03	2.93144e-01
5.08585e-03	4.42715e-02
5.08599e-03	-9.89653e-02
5.28549e-03	-1.43460e-01
5.28549e-03	-4.66579e-01
5.28550e-03	-4.01960e-01
5.28550e-03	-6.42684e-01
5.33275e-03	-5.70222e-01
5.33275e-03	-2.69225e-01
5.33275e-03	1.00310e+00
5.33276e-03	1.77835e+00
5.33276e-03	1.63030e+00
5.33276e-03	5.95228e-01
5.33276e-03	2.54558e-01
5.33277e-03	3.89107e-02
5.33315e-03	-7.58424e-02
5.53240e-03	-1.20848e-01
5.53241e-03	-4.50022e-01
5.53241e-03	-3.33076e-01
5.53242e-03	-6.38400e-01
5.57967e-03	-5.58631e-01
5.57967e-03	-1.97168e-01
5.57967e-03	1.16483e+00
5.57967e-03	1.97474e+00
5.57967e-03	1.77000e+00
5.57967e-03	6.64645e-01
5.57967e-03	2.95628e-01
5.57968e-03	6.39830e-02
5.57994e-03	-5.79305e-02
5.77931e-03	-1.20770e-01
5.77932e-03	-4.38439e-01
5.77932e-03	-3.09106e-01
5.77933e-03	-6.14256e-01
5.82658e-03	-5.32395e-01
5.82658e-03	5.96183e-01
5.82658e-03	1.38194e+00
5.82658e-03	1.91103e+00
5.82658e-03	1.81695e+00
5.82658e-03	6.44984e-01
5.82659e-03	2.93290e-01
5.82659e-03	7.75528e-02
5.82686e-03	-4.40370e-02
6.02623e-03	-1.24303e-01
6.02623e-03	-4.25492e-01
6.02624e-03	-3.37521e-01
6.02624e-03	-6.25457e-01
6.07349e-03	-5.18686e-01
6.07350e-03	6.35127e-01
6.07350e-03	1.44041e+00
6.07350e-03	1.99011e+00
6.07350e-03	1.90744e+00
6.07350e-03	7.08381e-01
6.07350e-03	3.28514e-01
6.07351e-03	9.79184e-02
6.07375e-03	-3.32701e-02
6.27314e-03	-1.03458e-01
6.27314e-03	-4.18525e-01
6.27315e-03	-3.57138e-01
6.27315e-03	-6.34373e-01
6.32041e-03	-4.99387e-01
6.32041e-03	6.92196e-01
6.32041e-03	1.50975e+00
6.32042e-03	2.06007e+00
6.32042e-03	1.96883e+00
6.32042e-03	7.47427e-01
