time	V(a)
1.82370e-02	3.00596e+02
1.84862e-02	3.00518e+02
1.84862e-02	3.00060e+02
1.84862e-02	2.98401e+02
1.84862e-02	2.93676e+02
1.84862e-02	2.88173e+02
1.84862e-02	2.82153e+02
1.84862e-02	2.75748e+02
1.84862e-02	2.70733e+02
1.84862e-02	2.64516e+02
1.84862e-02	2.61303e+02
1.84862e-02	2.58860e+02
1.84862e-02	2.54462e+02
1.84862e-02	2.52159e+02
1.84862e-02	2.50770e+02
1.84862e-02	1.21286e+02
1.84862e-02	1.48468e+01
1.84862e-02	7.17939e+00
1.84862e-02	3.11823e-01
1.84862e-02	1.59061e-02
1.84862e-02	-7.91377e-01
1.84862e-02	-1.02629e+00
1.88860e-02	-9.59297e-01
1.88860e-02	-5.03750e-01
1.88860e-02	2.02119e+00
1.88860e-02	3.85770e+01
1.88860e-02	1.36368e+02
1.88860e-02	2.60370e+02
1.88860e-02	2.72276e+02
1.88860e-02	2.86576e+02
1.88860e-02	2.93620e+02
1.88860e-02	2.96691e+02
1.88860e-02	2.97785e+02
1.88860e-02	2.98281e+02
1.88860e-02	2.99107e+02
1.88860e-02	3.02084e+02
1.88860e-02	3.02908e+02
1.88860e-02	3.03308e+02
1.88860e-02	3.03569e+02
1.94194e-02	3.02009e+02
1.96985e-02	3.01540e+02
1.96985e-02	3.01503e+02
1.96985e-02	3.00656e+02
1.96985e-02	2.98334e+02
1.96985e-02	2.93886e+02
1.96985e-02	2.83367e+02
1.96985e-02	2.77443e+02
1.96985e-02	2.69924e+02
1.96985e-02	2.63888e+02
1.96985e-02	2.61204e+02
1.96985e-02	2.58719e+02
1.96985e-02	2.54271e+02
1.96985e-02	2.50383e+02
1.96985e-02	2.41306e+02
1.96985e-02	2.25629e+02
1.96985e-02	1.99486e+02
1.96985e-02	1.64246e+02
1.96985e-02	1.30623e+02
1.96985e-02	7.09000e+01
1.96985e-02	6.50014e+01
1.96985e-02	6.21480e+01
1.96985e-02	4.50520e+01
1.96985e-02	3.03684e+01
1.96985e-02	1.82659e+01
1.96985e-02	3.89983e+00
1.96985e-02	-9.37288e-01
1.96988e-02	-1.05639e+00
2.03725e-02	-8.37622e-01
2.03725e-02	-5.59249e-01
2.03725e-02	4.93987e+00
2.03725e-02	3.38797e+01
2.03725e-02	1.11616e+02
2.03725e-02	2.50941e+02
2.03725e-02	2.74908e+02
2.03725e-02	2.88171e+02
2.03725e-02	2.97169e+02
2.03725e-02	3.01091e+02
2.03725e-02	3.02080e+02
2.03725e-02	3.04618e+02
2.03725e-02	3.05188e+02
2.03725e-02	3.05514e+02
2.03727e-02	3.05670e+02
2.07206e-02	3.03914e+02
2.09066e-02	3.03265e+02
2.09066e-02	3.03373e+02
2.09066e-02	3.03142e+02
2.09066e-02	3.02086e+02
2.09066e-02	2.99060e+02
2.09066e-02	2.94587e+02
2.09066e-02	2.83370e+02
2.09066e-02	2.76879e+02
2.09066e-02	2.69419e+02
2.09066e-02	2.65030e+02
2.09066e-02	2.64123e+02
2.09066e-02	2.57933e+02
2.09066e-02	2.25302e+02
2.09066e-02	1.35054e+02
2.09066e-02	1.74527e+01
2.09066e-02	-7.71354e-01
2.09066e-02	-9.43100e-01
2.18519e-02	-8.32256e-01
2.18519e-02	2.44852e+00
2.18519e-02	4.37855e+01
2.18519e-02	1.44950e+02
2.18519e-02	2.62317e+02
2.18519e-02	2.71095e+02
2.18519e-02	2.94127e+02
2.18519e-02	3.02286e+02
2.18519e-02	3.03709e+02
2.18519e-02	3.06292e+02
2.18519e-02	3.06760e+02
2.18519e-02	3.07094e+02
2.18519e-02	3.07341e+02
2.21082e-02	3.05650e+02
2.21082e-02	3.05890e+02
2.21082e-02	3.05581e+02
2.21082e-02	3.05392e+02
2.21082e-02	3.04983e+02
2.21082e-02	3.03483e+02
2.21082e-02	3.01222e+02
2.21082e-02	2.84283e+02
2.21082e-02	2.43121e+02
2.21082e-02	1.79741e+02
2.21082e-02	1.10172e+02
2.21083e-02	4.40588e+01
2.21083e-02	3.59765e+01
2.21083e-02	2.30285e+01
2.21083e-02	5.15824e+00
2.21083e-02	-7.93406e-01
2.21084e-02	-9.23825e-01
2.43302e-02	-4.53998e-01
2.45414e-02	-4.50637e-01
2.45415e-02	-6.00063e-01
2.47967e-02	-5.86086e-01
2.47967e-02	-2.22607e-01
2.47967e-02	2.65302e-01
2.47967e-02	-1.30296e-01
2.47969e-02	-2.77752e-01
2.58748e-02	-1.07313e-01
2.58748e-02	-4.37439e-01
2.58748e-02	-3.45407e-01
2.58748e-02	-6.40208e-01
2.61301e-02	-5.63253e-01
2.61301e-02	-2.11801e-01
2.61301e-02	1.12489e+00
2.61301e-02	1.91911e+00
2.61301e-02	1.71551e+00
2.61301e-02	6.28063e-01
2.61301e-02	2.74265e-01
2.61301e-02	5.53623e-02
2.61304e-02	-6.59841e-02
2.72077e-02	-8.43636e-02
2.72077e-02	-3.62965e-01
2.72077e-02	-2.65330e-01
2.72077e-02	-6.34608e-01
2.74643e-02	-4.85519e-01
2.74643e-02	-2.10522e-01
2.74643e-02	3.28859e-01
2.74643e-02	1.86913e+00
2.74643e-02	2.19299e+00
2.74643e-02	1.88945e+00
2.74643e-02	6.39604e-01
2.74643e-02	3.08479e-01
2.74643e-02	9.88873e-02
2.74648e-02	-1.24910e-02
2.84862e-02	-6.87764e-02
2.84862e-02	-3.45316e-01
2.84862e-02	-2.84504e-01
2.84862e-02	8.82327e-01
2.84862e-02	6.76478e+00
2.84862e-02	3.51117e+01
2.84862e-02	1.14749e+02
2.84862e-02	2.40006e+02
2.84862e-02	2.56190e+02
2.84862e-02	2.69456e+02
2.84862e-02	2.79754e+02
2.84862e-02	2.88834e+02
2.84862e-02	3.00651e+02
2.84862e-02	3.05771e+02
2.84862e-02	3.06994e+02
2.84862e-02	3.09022e+02
2.84862e-02	3.09488e+02
2.84862e-02	3.09828e+02
