time	V(tri)
4.82716e-02	4.99826e+00
4.83958e-02	2.79099e-02
4.85187e-02	4.99067e+00
4.86421e-02	4.72500e-03
4.87655e-02	4.99916e+00
4.88900e-02	4.46546e-02
4.90124e-02	4.99901e+00
4.91359e-02	4.53011e-03
4.92593e-02	4.99890e+00
4.93835e-02	3.24281e-02
4.95063e-02	4.99418e+00
4.96307e-02	4.42039e-02
4.97531e-02	4.99850e+00
4.98774e-02	3.34354e-02
5.00007e-02	4.97314e+00
5.01246e-02	4.51245e-02
5.02477e-02	4.96824e+00
5.03710e-02	2.69676e-02
5.04949e-02	4.95697e+00
5.06179e-02	2.65486e-02
5.07408e-02	4.99902e+00
5.08648e-02	2.58568e-02
5.09877e-02	4.99689e+00
5.11124e-02	5.02985e-02
5.12346e-02	4.99848e+00
5.13582e-02	7.02974e-03
5.14815e-02	4.99952e+00
5.16053e-02	1.46125e-02
5.17284e-02	4.99923e+00
5.18523e-02	1.78311e-02
5.19754e-02	4.99747e+00
5.21000e-02	4.85079e-02
5.22223e-02	4.99541e+00
5.23463e-02	2.37713e-02
5.24693e-02	4.99166e+00
5.25937e-02	4.44103e-02
5.27161e-02	4.99948e+00
5.28403e-02	3.07305e-02
5.29636e-02	4.97244e+00
5.30875e-02	4.44707e-02
5.32106e-02	4.96936e+00
5.33341e-02	3.07935e-02
5.34578e-02	4.95961e+00
5.35814e-02	4.57267e-02
5.37038e-02	4.99766e+00
5.38284e-02	4.99643e-02
5.39506e-02	4.99920e+00
5.40753e-02	4.76482e-02
5.41976e-02	4.99665e+00
5.43220e-02	3.94705e-02
5.44445e-02	4.99942e+00
5.45689e-02	4.04442e-02
5.46915e-02	4.99624e+00
5.48160e-02	4.78194e-02
5.49383e-02	4.99847e+00
5.50629e-02	4.71234e-02
5.51852e-02	4.99872e+00
5.53094e-02	3.06486e-02
5.54321e-02	4.99846e+00
5.55563e-02	3.04151e-02
5.56790e-02	4.99853e+00
5.58027e-02	9.77170e-03
5.59259e-02	4.99914e+00
5.60501e-02	2.89522e-02
5.61733e-02	4.98088e+00
5.62975e-02	4.77315e-02
5.64198e-02	4.99910e+00
5.65444e-02	4.71524e-02
5.66676e-02	4.96167e+00
5.67910e-02	3.48505e-02
5.69144e-02	4.96769e+00
5.70377e-02	2.71088e-02
5.71617e-02	4.95180e+00
5.72850e-02	4.11065e-02
5.74075e-02	4.99798e+00
5.75316e-02	3.09289e-02
5.76544e-02	4.99654e+00
5.77789e-02	4.52810e-02
